País,ano,quantidade,valor_usd,produto,tipo
Africa do Sul,1970,0,0,Espumantes,Importação
Africa do Sul,1971,0,0,Espumantes,Importação
Africa do Sul,1972,0,0,Espumantes,Importação
Africa do Sul,1973,0,0,Espumantes,Importação
Africa do Sul,1974,0,0,Espumantes,Importação
Africa do Sul,1975,0,0,Espumantes,Importação
Africa do Sul,1976,0,0,Espumantes,Importação
Africa do Sul,1977,0,0,Espumantes,Importação
Africa do Sul,1978,0,0,Espumantes,Importação
Africa do Sul,1979,0,0,Espumantes,Importação
Africa do Sul,1980,0,0,Espumantes,Importação
Africa do Sul,1981,0,0,Espumantes,Importação
Africa do Sul,1982,0,0,Espumantes,Importação
Africa do Sul,1983,0,0,Espumantes,Importação
Africa do Sul,1984,0,0,Espumantes,Importação
Africa do Sul,1985,0,0,Espumantes,Importação
Africa do Sul,1986,0,0,Espumantes,Importação
Africa do Sul,1987,0,0,Espumantes,Importação
Africa do Sul,1988,0,0,Espumantes,Importação
Africa do Sul,1989,0,0,Espumantes,Importação
Africa do Sul,1990,0,0,Espumantes,Importação
Africa do Sul,1991,0,0,Espumantes,Importação
Africa do Sul,1992,0,0,Espumantes,Importação
Africa do Sul,1993,0,0,Espumantes,Importação
Africa do Sul,1994,0,0,Espumantes,Importação
Africa do Sul,1995,0,0,Espumantes,Importação
Africa do Sul,1996,0,0,Espumantes,Importação
Africa do Sul,1997,0,0,Espumantes,Importação
Africa do Sul,1998,0,0,Espumantes,Importação
Africa do Sul,1999,0,0,Espumantes,Importação
Africa do Sul,2000,0,0,Espumantes,Importação
Africa do Sul,2001,0,0,Espumantes,Importação
Africa do Sul,2002,0,0,Espumantes,Importação
Africa do Sul,2003,5546,6475,Espumantes,Importação
Africa do Sul,2004,59,259,Espumantes,Importação
Africa do Sul,2005,520,2320,Espumantes,Importação
Africa do Sul,2006,275,1460,Espumantes,Importação
Africa do Sul,2007,90,1073,Espumantes,Importação
Africa do Sul,2008,9212,30630,Espumantes,Importação
Africa do Sul,2009,10381,42463,Espumantes,Importação
Africa do Sul,2010,8121,37035,Espumantes,Importação
Africa do Sul,2011,20213,123099,Espumantes,Importação
Africa do Sul,2012,24954,133975,Espumantes,Importação
Africa do Sul,2013,26985,158325,Espumantes,Importação
Africa do Sul,2014,18659,114275,Espumantes,Importação
Africa do Sul,2015,19686,96316,Espumantes,Importação
Africa do Sul,2016,7394,50715,Espumantes,Importação
Africa do Sul,2017,4913,23919,Espumantes,Importação
Africa do Sul,2018,15368,74800,Espumantes,Importação
Africa do Sul,2019,17583,72077,Espumantes,Importação
Africa do Sul,2020,3574,14542,Espumantes,Importação
Africa do Sul,2021,6980,36677,Espumantes,Importação
Africa do Sul,2022,9882,64582,Espumantes,Importação
Africa do Sul,2023,7650,69382,Espumantes,Importação
Alemanha,1970,0,0,Espumantes,Importação
Alemanha,1971,25,36,Espumantes,Importação
Alemanha,1972,2864,2479,Espumantes,Importação
Alemanha,1973,2900,3130,Espumantes,Importação
Alemanha,1974,1667,2128,Espumantes,Importação
Alemanha,1975,355,937,Espumantes,Importação
Alemanha,1976,1947,1880,Espumantes,Importação
Alemanha,1977,840,982,Espumantes,Importação
Alemanha,1978,420,1059,Espumantes,Importação
Alemanha,1979,1020,3901,Espumantes,Importação
Alemanha,1980,332,1175,Espumantes,Importação
Alemanha,1981,753,1860,Espumantes,Importação
Alemanha,1982,117270,101714,Espumantes,Importação
Alemanha,1983,215712,193026,Espumantes,Importação
Alemanha,1984,3360,3130,Espumantes,Importação
Alemanha,1985,0,0,Espumantes,Importação
Alemanha,1986,32490,37388,Espumantes,Importação
Alemanha,1987,1800,2000,Espumantes,Importação
