País,ano,quantidade,valor_usd
Afeganistão,1970,0,0
Afeganistão,1971,0,0
Afeganistão,1972,0,0
Afeganistão,1973,0,0
Afeganistão,1974,0,0
Afeganistão,1975,0,0
Afeganistão,1976,0,0
Afeganistão,1977,0,0
Afeganistão,1978,0,0
Afeganistão,1979,0,0
Afeganistão,1980,0,0
Afeganistão,1981,0,0
Afeganistão,1982,0,0
Afeganistão,1983,0,0
Afeganistão,1984,0,0
Afeganistão,1985,0,0
Afeganistão,1986,0,0
Afeganistão,1987,0,0
Afeganistão,1988,0,0
Afeganistão,1989,0,0
Afeganistão,1990,0,0
Afeganistão,1991,0,0
Afeganistão,1992,0,0
Afeganistão,1993,0,0
Afeganistão,1994,0,0
Afeganistão,1995,0,0
Afeganistão,1996,0,0
Afeganistão,1997,0,0
Afeganistão,1998,0,0
Afeganistão,1999,0,0
Afeganistão,2000,0,0
Afeganistão,2001,0,0
Afeganistão,2002,0,0
Afeganistão,2003,0,0
Afeganistão,2004,0,0
Afeganistão,2005,0,0
Afeganistão,2006,0,0
Afeganistão,2007,0,0
Afeganistão,2008,0,0
Afeganistão,2009,0,0
Afeganistão,2010,18000,28050
Afeganistão,2011,400000,669059
Afeganistão,2012,0,0
Afeganistão,2013,18000,32600
Afeganistão,2014,456000,789790
Afeganistão,2015,125000,179545
Afeganistão,2016,0,0
Afeganistão,2017,0,0
Afeganistão,2018,0,0
Afeganistão,2019,40000,65452
Afeganistão,2020,0,0
Afeganistão,2021,0,484
Afeganistão,2022,0,0
Afeganistão,2023,0,0
África do Sul,1970,0,0
África do Sul,1971,0,0
África do Sul,1972,0,0
África do Sul,1973,0,0
África do Sul,1974,0,0
África do Sul,1975,72000,54360
África do Sul,1976,0,0
África do Sul,1977,0,0
África do Sul,1978,0,0
África do Sul,1979,0,0
África do Sul,1980,0,0
África do Sul,1981,0,0
África do Sul,1982,0,0
África do Sul,1983,0,0
África do Sul,1984,0,0
África do Sul,1985,0,0
África do Sul,1986,0,0
África do Sul,1987,0,0
África do Sul,1988,0,0
África do Sul,1989,0,0
África do Sul,1990,0,0
África do Sul,1991,0,0
África do Sul,1992,0,0
África do Sul,1993,0,0
África do Sul,1994,0,0
África do Sul,1995,0,0
África do Sul,1996,0,0
África do Sul,1997,15253,29681
África do Sul,1998,178585,341606
África do Sul,1999,66912,123771
África do Sul,2000,35617,54452
África do Sul,2001,152070,190827
África do Sul,2002,88885,103632
África do Sul,2003,59000,96513
África do Sul,2004,0,0
África do Sul,2005,17940,23195
África do Sul,2006,19000,27050
África do Sul,2007,99500,215677
África do Sul,2008,641051,1032307
África do Sul,2009,195000,563360
África do Sul,2010,700846,2037012
África do Sul,2011,184250,596923
África do Sul,2012,986750,3527083
África do Sul,2013,0,0
África do Sul,2014,2220275,3507617
África do Sul,2015,1418063,3278109
África do Sul,2016,617500,1487082
