País,ano,quantidade,valor_usd,produto,tipo
Africa do Sul,1970,0,0,Suco de Uva,Importação
Africa do Sul,1971,0,0,Suco de Uva,Importação
Africa do Sul,1972,0,0,Suco de Uva,Importação
Africa do Sul,1973,0,0,Suco de Uva,Importação
Africa do Sul,1974,0,0,Suco de Uva,Importação
Africa do Sul,1975,0,0,Suco de Uva,Importação
Africa do Sul,1976,0,0,Suco de Uva,Importação
Africa do Sul,1977,0,0,Suco de Uva,Importação
Africa do Sul,1978,0,0,Suco de Uva,Importação
Africa do Sul,1979,0,0,Suco de Uva,Importação
Africa do Sul,1980,0,0,Suco de Uva,Importação
Africa do Sul,1981,0,0,Suco de Uva,Importação
Africa do Sul,1982,0,0,Suco de Uva,Importação
Africa do Sul,1983,0,0,Suco de Uva,Importação
Africa do Sul,1984,0,0,Suco de Uva,Importação
Africa do Sul,1985,0,0,Suco de Uva,Importação
Africa do Sul,1986,0,0,Suco de Uva,Importação
Africa do Sul,1987,0,0,Suco de Uva,Importação
Africa do Sul,1988,0,0,Suco de Uva,Importação
Africa do Sul,1989,0,0,Suco de Uva,Importação
Africa do Sul,1990,0,0,Suco de Uva,Importação
Africa do Sul,1991,0,0,Suco de Uva,Importação
Africa do Sul,1992,0,0,Suco de Uva,Importação
Africa do Sul,1993,0,0,Suco de Uva,Importação
Africa do Sul,1994,0,0,Suco de Uva,Importação
Africa do Sul,1995,120252,110730,Suco de Uva,Importação
Africa do Sul,1996,0,0,Suco de Uva,Importação
Africa do Sul,1997,0,0,Suco de Uva,Importação
Africa do Sul,1998,1605,1085,Suco de Uva,Importação
Africa do Sul,1999,0,0,Suco de Uva,Importação
Africa do Sul,2000,0,0,Suco de Uva,Importação
Africa do Sul,2001,1200,665,Suco de Uva,Importação
Africa do Sul,2002,0,0,Suco de Uva,Importação
Africa do Sul,2003,0,0,Suco de Uva,Importação
Africa do Sul,2004,1876,1124,Suco de Uva,Importação
Africa do Sul,2005,12014,7685,Suco de Uva,Importação
Africa do Sul,2006,10689,7312,Suco de Uva,Importação
Africa do Sul,2007,12754,8635,Suco de Uva,Importação
Africa do Sul,2008,14379,10961,Suco de Uva,Importação
Africa do Sul,2009,11839,9400,Suco de Uva,Importação
Africa do Sul,2010,37353,31729,Suco de Uva,Importação
Africa do Sul,2011,38796,34605,Suco de Uva,Importação
Africa do Sul,2012,74388,71839,Suco de Uva,Importação
Africa do Sul,2013,67758,68254,Suco de Uva,Importação
Africa do Sul,2014,43104,40489,Suco de Uva,Importação
Africa do Sul,2015,13125,13209,Suco de Uva,Importação
Africa do Sul,2016,7154,5841,Suco de Uva,Importação
Africa do Sul,2017,22029,17551,Suco de Uva,Importação
Africa do Sul,2018,21618,18334,Suco de Uva,Importação
Africa do Sul,2019,0,0,Suco de Uva,Importação
Africa do Sul,2020,0,0,Suco de Uva,Importação
Africa do Sul,2021,0,0,Suco de Uva,Importação
Africa do Sul,2022,0,0,Suco de Uva,Importação
Africa do Sul,2023,0,0,Suco de Uva,Importação
Alemanha,1970,0,0,Suco de Uva,Importação
Alemanha,1971,0,0,Suco de Uva,Importação
Alemanha,1972,0,0,Suco de Uva,Importação
Alemanha,1973,0,0,Suco de Uva,Importação
Alemanha,1974,0,0,Suco de Uva,Importação
Alemanha,1975,5,1,Suco de Uva,Importação
Alemanha,1976,0,0,Suco de Uva,Importação
Alemanha,1977,0,0,Suco de Uva,Importação
Alemanha,1978,0,0,Suco de Uva,Importação
Alemanha,1979,0,0,Suco de Uva,Importação
Alemanha,1980,0,0,Suco de Uva,Importação
Alemanha,1981,0,0,Suco de Uva,Importação
Alemanha,1982,0,0,Suco de Uva,Importação
Alemanha,1983,0,0,Suco de Uva,Importação
Alemanha,1984,0,0,Suco de Uva,Importação
Alemanha,1985,0,0,Suco de Uva,Importação
Alemanha,1986,0,0,Suco de Uva,Importação
Alemanha,1987,0,0,Suco de Uva,Importação
Alemanha,1988,0,0,Suco de Uva,Importação
Alemanha,1989,0,0,Suco de Uva,Importação
Alemanha,1990,0,0,Suco de Uva,Importação
Alemanha,1991,0,0,Suco de Uva,Importação
Alemanha,1992,1170,2497,Suco de Uva,Importação
Alemanha,1993,2832,2704,Suco de Uva,Importação
Alemanha,1994,4521,7206,Suco de Uva,Importação
Alemanha,1995,4407,4792,Suco de Uva,Importação
Alemanha,1996,13185,22088,Suco de Uva,Importação
Alemanha,1997,2880,1901,Suco de Uva,Importação
Alemanha,1998,0,0,Suco de Uva,Importação
Alemanha,1999,0,0,Suco de Uva,Importação
Alemanha,2000,0,0,Suco de Uva,Importação
Alemanha,2001,0,0,Suco de Uva,Importação
Alemanha,2002,0,0,Suco de Uva,Importação
Alemanha,2003,0,0,Suco de Uva,Importação
Alemanha,2004,600,1791,Suco de Uva,Importação
Alemanha,2005,0,0,Suco de Uva,Importação
Alemanha,2006,0,0,Suco de Uva,Importação
Alemanha,2007,0,0,Suco de Uva,Importação
Alemanha,2008,60850,68950,Suco de Uva,Importação
Alemanha,2009,0,0,Suco de Uva,Importação
Alemanha,2010,0,0,Suco de Uva,Importação
Alemanha,2011,0,0,Suco de Uva,Importação
