País,ano,quantidade,valor_usd,produto,tipo
Argélia,1970,0,0,Uvas Frescas,Importação
Argélia,1971,0,0,Uvas Frescas,Importação
Argélia,1972,0,0,Uvas Frescas,Importação
Argélia,1973,0,0,Uvas Frescas,Importação
Argélia,1974,0,0,Uvas Frescas,Importação
Argélia,1975,0,0,Uvas Frescas,Importação
Argélia,1976,0,0,Uvas Frescas,Importação
Argélia,1977,0,0,Uvas Frescas,Importação
Argélia,1978,0,0,Uvas Frescas,Importação
Argélia,1979,0,0,Uvas Frescas,Importação
Argélia,1980,0,0,Uvas Frescas,Importação
Argélia,1981,0,0,Uvas Frescas,Importação
Argélia,1982,0,0,Uvas Frescas,Importação
Argélia,1983,0,0,Uvas Frescas,Importação
Argélia,1984,0,0,Uvas Frescas,Importação
Argélia,1985,0,0,Uvas Frescas,Importação
Argélia,1986,0,0,Uvas Frescas,Importação
Argélia,1987,0,0,Uvas Frescas,Importação
Argélia,1988,0,0,Uvas Frescas,Importação
Argélia,1989,0,0,Uvas Frescas,Importação
Argélia,1990,0,0,Uvas Frescas,Importação
Argélia,1991,0,0,Uvas Frescas,Importação
Argélia,1992,0,0,Uvas Frescas,Importação
Argélia,1993,0,0,Uvas Frescas,Importação
Argélia,1994,0,0,Uvas Frescas,Importação
Argélia,1995,0,0,Uvas Frescas,Importação
Argélia,1996,0,0,Uvas Frescas,Importação
Argélia,1997,0,0,Uvas Frescas,Importação
Argélia,1998,0,0,Uvas Frescas,Importação
Argélia,1999,0,0,Uvas Frescas,Importação
Argélia,2000,0,0,Uvas Frescas,Importação
Argélia,2001,0,0,Uvas Frescas,Importação
Argélia,2002,0,0,Uvas Frescas,Importação
Argélia,2003,0,0,Uvas Frescas,Importação
Argélia,2004,0,0,Uvas Frescas,Importação
Argélia,2005,0,0,Uvas Frescas,Importação
Argélia,2006,0,0,Uvas Frescas,Importação
Argélia,2007,0,0,Uvas Frescas,Importação
Argélia,2008,0,0,Uvas Frescas,Importação
Argélia,2009,0,0,Uvas Frescas,Importação
Argélia,2010,0,0,Uvas Frescas,Importação
