País,ano,quantidade,valor_usd,produto,tipo
Afeganistão,1970,0,0,Uvas Passas,Importação
Afeganistão,1971,0,0,Uvas Passas,Importação
Afeganistão,1972,0,0,Uvas Passas,Importação
Afeganistão,1973,0,0,Uvas Passas,Importação
Afeganistão,1974,0,0,Uvas Passas,Importação
Afeganistão,1975,0,0,Uvas Passas,Importação
Afeganistão,1976,0,0,Uvas Passas,Importação
Afeganistão,1977,0,0,Uvas Passas,Importação
Afeganistão,1978,0,0,Uvas Passas,Importação
Afeganistão,1979,0,0,Uvas Passas,Importação
Afeganistão,1980,0,0,Uvas Passas,Importação
Afeganistão,1981,0,0,Uvas Passas,Importação
Afeganistão,1982,0,0,Uvas Passas,Importação
Afeganistão,1983,0,0,Uvas Passas,Importação
Afeganistão,1984,0,0,Uvas Passas,Importação
Afeganistão,1985,0,0,Uvas Passas,Importação
Afeganistão,1986,0,0,Uvas Passas,Importação
Afeganistão,1987,0,0,Uvas Passas,Importação
Afeganistão,1988,0,0,Uvas Passas,Importação
Afeganistão,1989,0,0,Uvas Passas,Importação
Afeganistão,1990,0,0,Uvas Passas,Importação
Afeganistão,1991,0,0,Uvas Passas,Importação
Afeganistão,1992,0,0,Uvas Passas,Importação
Afeganistão,1993,0,0,Uvas Passas,Importação
Afeganistão,1994,0,0,Uvas Passas,Importação
Afeganistão,1995,0,0,Uvas Passas,Importação
Afeganistão,1996,0,0,Uvas Passas,Importação
Afeganistão,1997,0,0,Uvas Passas,Importação
Afeganistão,1998,0,0,Uvas Passas,Importação
Afeganistão,1999,0,0,Uvas Passas,Importação
Afeganistão,2000,0,0,Uvas Passas,Importação
Afeganistão,2001,0,0,Uvas Passas,Importação
Afeganistão,2002,0,0,Uvas Passas,Importação
Afeganistão,2003,0,0,Uvas Passas,Importação
Afeganistão,2004,0,0,Uvas Passas,Importação
Afeganistão,2005,0,0,Uvas Passas,Importação
Afeganistão,2006,0,0,Uvas Passas,Importação
Afeganistão,2007,0,0,Uvas Passas,Importação
Afeganistão,2008,0,0,Uvas Passas,Importação
Afeganistão,2009,0,0,Uvas Passas,Importação
Afeganistão,2010,18000,28050,Uvas Passas,Importação
Afeganistão,2011,400000,669059,Uvas Passas,Importação
Afeganistão,2012,0,0,Uvas Passas,Importação
Afeganistão,2013,18000,32600,Uvas Passas,Importação
Afeganistão,2014,456000,789790,Uvas Passas,Importação
Afeganistão,2015,125000,179545,Uvas Passas,Importação
Afeganistão,2016,0,0,Uvas Passas,Importação
Afeganistão,2017,0,0,Uvas Passas,Importação
Afeganistão,2018,0,0,Uvas Passas,Importação
Afeganistão,2019,40000,65452,Uvas Passas,Importação
Afeganistão,2020,0,0,Uvas Passas,Importação
Afeganistão,2021,0,484,Uvas Passas,Importação
Afeganistão,2022,0,0,Uvas Passas,Importação
Afeganistão,2023,0,0,Uvas Passas,Importação
África do Sul,1970,0,0,Uvas Passas,Importação
África do Sul,1971,0,0,Uvas Passas,Importação
África do Sul,1972,0,0,Uvas Passas,Importação
África do Sul,1973,0,0,Uvas Passas,Importação
África do Sul,1974,0,0,Uvas Passas,Importação
África do Sul,1975,72000,54360,Uvas Passas,Importação
África do Sul,1976,0,0,Uvas Passas,Importação
África do Sul,1977,0,0,Uvas Passas,Importação
África do Sul,1978,0,0,Uvas Passas,Importação
África do Sul,1979,0,0,Uvas Passas,Importação
África do Sul,1980,0,0,Uvas Passas,Importação
África do Sul,1981,0,0,Uvas Passas,Importação
África do Sul,1982,0,0,Uvas Passas,Importação
África do Sul,1983,0,0,Uvas Passas,Importação
África do Sul,1984,0,0,Uvas Passas,Importação
África do Sul,1985,0,0,Uvas Passas,Importação
África do Sul,1986,0,0,Uvas Passas,Importação
África do Sul,1987,0,0,Uvas Passas,Importação
África do Sul,1988,0,0,Uvas Passas,Importação
África do Sul,1989,0,0,Uvas Passas,Importação
África do Sul,1990,0,0,Uvas Passas,Importação
África do Sul,1991,0,0,Uvas Passas,Importação
África do Sul,1992,0,0,Uvas Passas,Importação
África do Sul,1993,0,0,Uvas Passas,Importação
África do Sul,1994,0,0,Uvas Passas,Importação
África do Sul,1995,0,0,Uvas Passas,Importação
África do Sul,1996,0,0,Uvas Passas,Importação
África do Sul,1997,15253,29681,Uvas Passas,Importação
África do Sul,1998,178585,341606,Uvas Passas,Importação
África do Sul,1999,66912,123771,Uvas Passas,Importação
África do Sul,2000,35617,54452,Uvas Passas,Importação
África do Sul,2001,152070,190827,Uvas Passas,Importação
África do Sul,2002,88885,103632,Uvas Passas,Importação
África do Sul,2003,59000,96513,Uvas Passas,Importação
África do Sul,2004,0,0,Uvas Passas,Importação
África do Sul,2005,17940,23195,Uvas Passas,Importação
África do Sul,2006,19000,27050,Uvas Passas,Importação
África do Sul,2007,99500,215677,Uvas Passas,Importação
África do Sul,2008,641051,1032307,Uvas Passas,Importação
África do Sul,2009,195000,563360,Uvas Passas,Importação
África do Sul,2010,700846,2037012,Uvas Passas,Importação
África do Sul,2011,184250,596923,Uvas Passas,Importação
África do Sul,2012,986750,3527083,Uvas Passas,Importação
África do Sul,2013,0,0,Uvas Passas,Importação
África do Sul,2014,2220275,3507617,Uvas Passas,Importação
África do Sul,2015,1418063,3278109,Uvas Passas,Importação
África do Sul,2016,617500,1487082,Uvas Passas,Importação
África do Sul,2017,370500,942442,Uvas Passas,Importação
África do Sul,2018,1089700,3106052,Uvas Passas,Importação
África do Sul,2019,270875,763921,Uvas Passas,Importação
África do Sul,2020,616688,1433381,Uvas Passas,Importação
África do Sul,2021,327000,531327,Uvas Passas,Importação
África do Sul,2022,657826,1266633,Uvas Passas,Importação
África do Sul,2023,151500,397825,Uvas Passas,Importação
"Alemanha, República Democrática",1970,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",1971,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",1972,3000,3366,Uvas Passas,Importação
"Alemanha, República Democrática",1973,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",1974,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",1975,29988,2283,Uvas Passas,Importação
"Alemanha, República Democrática",1976,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",1977,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",1978,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",1979,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",1980,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",1981,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",1982,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",1983,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",1984,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",1985,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",1986,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",1987,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",1988,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",1989,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",1990,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",1991,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",1992,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",1993,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",1994,3,8,Uvas Passas,Importação
"Alemanha, República Democrática",1995,12,22,Uvas Passas,Importação
"Alemanha, República Democrática",1996,29,31,Uvas Passas,Importação
"Alemanha, República Democrática",1997,95005,107123,Uvas Passas,Importação
"Alemanha, República Democrática",1998,143,101,Uvas Passas,Importação
"Alemanha, República Democrática",1999,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",2000,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",2001,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",2002,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",2003,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",2004,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",2005,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",2006,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",2007,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",2008,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",2009,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",2010,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",2011,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",2012,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",2013,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",2014,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",2015,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",2016,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",2017,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",2018,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",2019,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",2020,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",2021,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",2022,0,0,Uvas Passas,Importação
"Alemanha, República Democrática",2023,0,0,Uvas Passas,Importação
Arábia Saudita,1970,0,0,Uvas Passas,Importação
Arábia Saudita,1971,0,0,Uvas Passas,Importação
Arábia Saudita,1972,0,0,Uvas Passas,Importação
Arábia Saudita,1973,0,0,Uvas Passas,Importação
Arábia Saudita,1974,0,0,Uvas Passas,Importação
Arábia Saudita,1975,0,0,Uvas Passas,Importação
Arábia Saudita,1976,0,0,Uvas Passas,Importação
Arábia Saudita,1977,0,0,Uvas Passas,Importação
Arábia Saudita,1978,0,0,Uvas Passas,Importação
Arábia Saudita,1979,0,0,Uvas Passas,Importação
Arábia Saudita,1980,0,0,Uvas Passas,Importação
Arábia Saudita,1981,0,0,Uvas Passas,Importação
Arábia Saudita,1982,0,0,Uvas Passas,Importação
Arábia Saudita,1983,0,0,Uvas Passas,Importação
Arábia Saudita,1984,0,0,Uvas Passas,Importação
Arábia Saudita,1985,0,0,Uvas Passas,Importação
Arábia Saudita,1986,0,0,Uvas Passas,Importação
Arábia Saudita,1987,0,0,Uvas Passas,Importação
Arábia Saudita,1988,0,0,Uvas Passas,Importação
Arábia Saudita,1989,0,0,Uvas Passas,Importação
Arábia Saudita,1990,0,0,Uvas Passas,Importação
Arábia Saudita,1991,0,0,Uvas Passas,Importação
Arábia Saudita,1992,0,0,Uvas Passas,Importação
Arábia Saudita,1993,0,0,Uvas Passas,Importação
Arábia Saudita,1994,0,0,Uvas Passas,Importação
Arábia Saudita,1995,0,0,Uvas Passas,Importação
Arábia Saudita,1996,0,0,Uvas Passas,Importação
Arábia Saudita,1997,0,0,Uvas Passas,Importação
Arábia Saudita,1998,0,0,Uvas Passas,Importação
Arábia Saudita,1999,0,0,Uvas Passas,Importação
Arábia Saudita,2000,0,0,Uvas Passas,Importação
Arábia Saudita,2001,0,0,Uvas Passas,Importação
Arábia Saudita,2002,0,0,Uvas Passas,Importação
Arábia Saudita,2003,18000,16900,Uvas Passas,Importação
Arábia Saudita,2004,0,0,Uvas Passas,Importação
Arábia Saudita,2005,0,0,Uvas Passas,Importação
Arábia Saudita,2006,0,0,Uvas Passas,Importação
Arábia Saudita,2007,0,0,Uvas Passas,Importação
Arábia Saudita,2008,0,0,Uvas Passas,Importação
Arábia Saudita,2009,0,0,Uvas Passas,Importação
Arábia Saudita,2010,0,0,Uvas Passas,Importação
Arábia Saudita,2011,0,0,Uvas Passas,Importação
Arábia Saudita,2012,0,0,Uvas Passas,Importação
Arábia Saudita,2013,0,0,Uvas Passas,Importação
Arábia Saudita,2014,0,0,Uvas Passas,Importação
Arábia Saudita,2015,0,0,Uvas Passas,Importação
Arábia Saudita,2016,0,0,Uvas Passas,Importação
Arábia Saudita,2017,0,0,Uvas Passas,Importação
Arábia Saudita,2018,0,0,Uvas Passas,Importação
Arábia Saudita,2019,0,0,Uvas Passas,Importação
Arábia Saudita,2020,0,0,Uvas Passas,Importação
Arábia Saudita,2021,0,0,Uvas Passas,Importação
Arábia Saudita,2022,0,0,Uvas Passas,Importação
Arábia Saudita,2023,0,0,Uvas Passas,Importação
Argentina,1970,1530058,845068,Uvas Passas,Importação
Argentina,1971,1206326,936632,Uvas Passas,Importação
Argentina,1972,1047482,981648,Uvas Passas,Importação
Argentina,1973,1277380,1848195,Uvas Passas,Importação
Argentina,1974,1004987,1154210,Uvas Passas,Importação
Argentina,1975,1583972,1142114,Uvas Passas,Importação
Argentina,1976,2731566,2573741,Uvas Passas,Importação
Argentina,1977,2549687,2663929,Uvas Passas,Importação
Argentina,1978,2385266,2683017,Uvas Passas,Importação
Argentina,1979,1527094,3998797,Uvas Passas,Importação
Argentina,1980,1586137,3707049,Uvas Passas,Importação
Argentina,1981,1558200,1937074,Uvas Passas,Importação
Argentina,1982,1875664,1739134,Uvas Passas,Importação
Argentina,1983,2238826,1476166,Uvas Passas,Importação
Argentina,1984,1662475,1626556,Uvas Passas,Importação
Argentina,1985,1519220,1420332,Uvas Passas,Importação
Argentina,1986,2116776,2515764,Uvas Passas,Importação
Argentina,1987,3011500,2988697,Uvas Passas,Importação
Argentina,1988,7894789,7741832,Uvas Passas,Importação
Argentina,1989,6392930,6765394,Uvas Passas,Importação
Argentina,1990,3758190,3641098,Uvas Passas,Importação
Argentina,1991,4726726,4931971,Uvas Passas,Importação
Argentina,1992,3061443,4023359,Uvas Passas,Importação
Argentina,1993,1772727,3079487,Uvas Passas,Importação
Argentina,1994,4433113,5435003,Uvas Passas,Importação
Argentina,1995,4172453,4708913,Uvas Passas,Importação
Argentina,1996,7103048,8416185,Uvas Passas,Importação
Argentina,1997,5673231,8436301,Uvas Passas,Importação
Argentina,1998,4237403,6256924,Uvas Passas,Importação
Argentina,1999,3438508,4855950,Uvas Passas,Importação
Argentina,2000,3367629,3886025,Uvas Passas,Importação
Argentina,2001,2634368,2444780,Uvas Passas,Importação
Argentina,2002,10502997,7213368,Uvas Passas,Importação
Argentina,2003,6449180,5741921,Uvas Passas,Importação
Argentina,2004,12287672,14106821,Uvas Passas,Importação
Argentina,2005,10271403,12379126,Uvas Passas,Importação
Argentina,2006,11555010,14810371,Uvas Passas,Importação
Argentina,2007,15203133,19187668,Uvas Passas,Importação
Argentina,2008,15641645,26994373,Uvas Passas,Importação
Argentina,2009,17209323,24106889,Uvas Passas,Importação
Argentina,2010,17279688,34499504,Uvas Passas,Importação
Argentina,2011,20533473,43262321,Uvas Passas,Importação
Argentina,2012,19728826,43648893,Uvas Passas,Importação
Argentina,2013,20571302,47105230,Uvas Passas,Importação
Argentina,2014,14681136,34049473,Uvas Passas,Importação
Argentina,2015,20905602,32341307,Uvas Passas,Importação
Argentina,2016,23280908,34643821,Uvas Passas,Importação
Argentina,2017,19742996,34422405,Uvas Passas,Importação
Argentina,2018,23564519,43501396,Uvas Passas,Importação
Argentina,2019,24135143,48810789,Uvas Passas,Importação
Argentina,2020,24992502,36743996,Uvas Passas,Importação
Argentina,2021,24015825,33337604,Uvas Passas,Importação
Argentina,2022,20829418,35659325,Uvas Passas,Importação
Argentina,2023,19758017,36404746,Uvas Passas,Importação
Austrália,1970,0,0,Uvas Passas,Importação
Austrália,1971,0,0,Uvas Passas,Importação
Austrália,1972,89025,52819,Uvas Passas,Importação
Austrália,1973,0,0,Uvas Passas,Importação
Austrália,1974,88754,88567,Uvas Passas,Importação
Austrália,1975,66750,59852,Uvas Passas,Importação
Austrália,1976,0,0,Uvas Passas,Importação
Austrália,1977,0,0,Uvas Passas,Importação
Austrália,1978,0,0,Uvas Passas,Importação
Austrália,1979,0,0,Uvas Passas,Importação
Austrália,1980,0,0,Uvas Passas,Importação
Austrália,1981,0,0,Uvas Passas,Importação
Austrália,1982,0,0,Uvas Passas,Importação
Austrália,1983,0,0,Uvas Passas,Importação
Austrália,1984,0,0,Uvas Passas,Importação
Austrália,1985,0,0,Uvas Passas,Importação
Austrália,1986,0,0,Uvas Passas,Importação
Austrália,1987,0,0,Uvas Passas,Importação
Austrália,1988,0,0,Uvas Passas,Importação
Austrália,1989,0,0,Uvas Passas,Importação
Austrália,1990,0,0,Uvas Passas,Importação
Austrália,1991,0,0,Uvas Passas,Importação
Austrália,1992,0,0,Uvas Passas,Importação
Austrália,1993,0,0,Uvas Passas,Importação
Austrália,1994,0,0,Uvas Passas,Importação
Austrália,1995,0,0,Uvas Passas,Importação
Austrália,1996,0,0,Uvas Passas,Importação
Austrália,1997,0,0,Uvas Passas,Importação
Austrália,1998,0,0,Uvas Passas,Importação
Austrália,1999,0,0,Uvas Passas,Importação
Austrália,2000,0,0,Uvas Passas,Importação
Austrália,2001,0,0,Uvas Passas,Importação
Austrália,2002,0,0,Uvas Passas,Importação
Austrália,2003,0,0,Uvas Passas,Importação
Austrália,2004,0,0,Uvas Passas,Importação
Austrália,2005,0,0,Uvas Passas,Importação
Austrália,2006,0,0,Uvas Passas,Importação
Austrália,2007,0,0,Uvas Passas,Importação
Austrália,2008,0,0,Uvas Passas,Importação
Austrália,2009,0,0,Uvas Passas,Importação
Austrália,2010,0,0,Uvas Passas,Importação
Austrália,2011,0,0,Uvas Passas,Importação
Austrália,2012,0,0,Uvas Passas,Importação
Austrália,2013,0,0,Uvas Passas,Importação
Austrália,2014,0,0,Uvas Passas,Importação
Austrália,2015,0,0,Uvas Passas,Importação
Austrália,2016,0,0,Uvas Passas,Importação
Austrália,2017,0,0,Uvas Passas,Importação
Austrália,2018,0,0,Uvas Passas,Importação
Austrália,2019,0,0,Uvas Passas,Importação
Austrália,2020,0,0,Uvas Passas,Importação
Austrália,2021,0,0,Uvas Passas,Importação
Austrália,2022,0,0,Uvas Passas,Importação
Austrália,2023,0,0,Uvas Passas,Importação
Bélgica,1970,0,0,Uvas Passas,Importação
Bélgica,1971,0,0,Uvas Passas,Importação
Bélgica,1972,0,0,Uvas Passas,Importação
Bélgica,1973,0,0,Uvas Passas,Importação
Bélgica,1974,0,0,Uvas Passas,Importação
Bélgica,1975,0,0,Uvas Passas,Importação
Bélgica,1976,0,0,Uvas Passas,Importação
Bélgica,1977,0,0,Uvas Passas,Importação
Bélgica,1978,0,0,Uvas Passas,Importação
Bélgica,1979,0,0,Uvas Passas,Importação
Bélgica,1980,0,0,Uvas Passas,Importação
Bélgica,1981,0,0,Uvas Passas,Importação
Bélgica,1982,0,0,Uvas Passas,Importação
Bélgica,1983,0,0,Uvas Passas,Importação
Bélgica,1984,0,0,Uvas Passas,Importação
Bélgica,1985,0,0,Uvas Passas,Importação
Bélgica,1986,0,0,Uvas Passas,Importação
Bélgica,1987,0,0,Uvas Passas,Importação
Bélgica,1988,0,0,Uvas Passas,Importação
Bélgica,1989,0,0,Uvas Passas,Importação
Bélgica,1990,0,0,Uvas Passas,Importação
Bélgica,1991,0,0,Uvas Passas,Importação
Bélgica,1992,0,0,Uvas Passas,Importação
Bélgica,1993,0,0,Uvas Passas,Importação
Bélgica,1994,0,0,Uvas Passas,Importação
Bélgica,1995,0,0,Uvas Passas,Importação
Bélgica,1996,0,0,Uvas Passas,Importação
Bélgica,1997,0,0,Uvas Passas,Importação
Bélgica,1998,0,0,Uvas Passas,Importação
Bélgica,1999,0,0,Uvas Passas,Importação
Bélgica,2000,0,0,Uvas Passas,Importação
Bélgica,2001,102625,55359,Uvas Passas,Importação
Bélgica,2002,20750,17563,Uvas Passas,Importação
Bélgica,2003,187450,141872,Uvas Passas,Importação
Bélgica,2004,41500,30416,Uvas Passas,Importação
Bélgica,2005,0,0,Uvas Passas,Importação
Bélgica,2006,0,0,Uvas Passas,Importação
Bélgica,2007,0,0,Uvas Passas,Importação
Bélgica,2008,0,0,Uvas Passas,Importação
Bélgica,2009,0,0,Uvas Passas,Importação
Bélgica,2010,0,0,Uvas Passas,Importação
Bélgica,2011,0,0,Uvas Passas,Importação
Bélgica,2012,0,0,Uvas Passas,Importação
Bélgica,2013,0,0,Uvas Passas,Importação
Bélgica,2014,0,0,Uvas Passas,Importação
Bélgica,2015,0,0,Uvas Passas,Importação
Bélgica,2016,0,0,Uvas Passas,Importação
Bélgica,2017,0,0,Uvas Passas,Importação
Bélgica,2018,0,0,Uvas Passas,Importação
Bélgica,2019,0,0,Uvas Passas,Importação
Bélgica,2020,0,0,Uvas Passas,Importação
Bélgica,2021,0,0,Uvas Passas,Importação
Bélgica,2022,0,0,Uvas Passas,Importação
Bélgica,2023,0,0,Uvas Passas,Importação
Chile,1970,4000,1040,Uvas Passas,Importação
Chile,1971,0,0,Uvas Passas,Importação
Chile,1972,0,0,Uvas Passas,Importação
Chile,1973,59747,66242,Uvas Passas,Importação
Chile,1974,0,0,Uvas Passas,Importação
Chile,1975,555818,714754,Uvas Passas,Importação
Chile,1976,582102,643686,Uvas Passas,Importação
Chile,1977,670742,1052119,Uvas Passas,Importação
Chile,1978,756026,1278523,Uvas Passas,Importação
Chile,1979,1088002,2567693,Uvas Passas,Importação
Chile,1980,484040,1100566,Uvas Passas,Importação
Chile,1981,327662,647273,Uvas Passas,Importação
Chile,1982,961997,1572341,Uvas Passas,Importação
Chile,1983,1258680,1527431,Uvas Passas,Importação
Chile,1984,1100570,1051746,Uvas Passas,Importação
Chile,1985,1730970,1608648,Uvas Passas,Importação
Chile,1986,2792410,2668045,Uvas Passas,Importação
Chile,1987,2810680,2854162,Uvas Passas,Importação
Chile,1988,2747990,2277103,Uvas Passas,Importação
Chile,1989,5592520,5272318,Uvas Passas,Importação
Chile,1990,3431648,3543179,Uvas Passas,Importação
Chile,1991,5372062,5582460,Uvas Passas,Importação
Chile,1992,3149429,3817499,Uvas Passas,Importação
Chile,1993,4604409,5788115,Uvas Passas,Importação
Chile,1994,6568978,7727671,Uvas Passas,Importação
Chile,1995,32331682,9055566,Uvas Passas,Importação
Chile,1996,6036433,8191108,Uvas Passas,Importação
Chile,1997,3882680,6518525,Uvas Passas,Importação
Chile,1998,4033736,6056881,Uvas Passas,Importação
Chile,1999,3853245,5815682,Uvas Passas,Importação
Chile,2000,4909468,5801413,Uvas Passas,Importação
Chile,2001,3223998,3319107,Uvas Passas,Importação
Chile,2002,1108017,1020342,Uvas Passas,Importação
Chile,2003,6011522,5283111,Uvas Passas,Importação
Chile,2004,933010,1200730,Uvas Passas,Importação
Chile,2005,534750,735554,Uvas Passas,Importação
Chile,2006,3847300,4531374,Uvas Passas,Importação
Chile,2007,1239130,1415636,Uvas Passas,Importação
Chile,2008,2075850,3697242,Uvas Passas,Importação
Chile,2009,4498510,6469816,Uvas Passas,Importação
Chile,2010,814720,1660791,Uvas Passas,Importação
Chile,2011,1127280,2614062,Uvas Passas,Importação
Chile,2012,2046530,5049441,Uvas Passas,Importação
Chile,2013,453310,1123963,Uvas Passas,Importação
Chile,2014,2615382,5771763,Uvas Passas,Importação
Chile,2015,747700,1522661,Uvas Passas,Importação
Chile,2016,365670,613554,Uvas Passas,Importação
Chile,2017,483305,971604,Uvas Passas,Importação
Chile,2018,127231,290772,Uvas Passas,Importação
Chile,2019,384437,1096176,Uvas Passas,Importação
Chile,2020,286774,567197,Uvas Passas,Importação
Chile,2021,225630,462855,Uvas Passas,Importação
Chile,2022,3584100,5524707,Uvas Passas,Importação
Chile,2023,4411180,7107544,Uvas Passas,Importação
China,1970,0,0,Uvas Passas,Importação
China,1971,0,0,Uvas Passas,Importação
China,1972,0,0,Uvas Passas,Importação
China,1973,0,0,Uvas Passas,Importação
China,1974,0,0,Uvas Passas,Importação
China,1975,0,0,Uvas Passas,Importação
China,1976,0,0,Uvas Passas,Importação
China,1977,0,0,Uvas Passas,Importação
China,1978,0,0,Uvas Passas,Importação
China,1979,0,0,Uvas Passas,Importação
China,1980,0,0,Uvas Passas,Importação
China,1981,0,0,Uvas Passas,Importação
China,1982,0,0,Uvas Passas,Importação
China,1983,0,0,Uvas Passas,Importação
China,1984,0,0,Uvas Passas,Importação
China,1985,0,0,Uvas Passas,Importação
China,1986,0,0,Uvas Passas,Importação
China,1987,0,0,Uvas Passas,Importação
China,1988,0,0,Uvas Passas,Importação
China,1989,0,0,Uvas Passas,Importação
China,1990,0,0,Uvas Passas,Importação
China,1991,0,0,Uvas Passas,Importação
China,1992,0,0,Uvas Passas,Importação
China,1993,0,0,Uvas Passas,Importação
China,1994,0,0,Uvas Passas,Importação
China,1995,0,0,Uvas Passas,Importação
China,1996,0,0,Uvas Passas,Importação
China,1997,0,0,Uvas Passas,Importação
China,1998,0,0,Uvas Passas,Importação
China,1999,0,0,Uvas Passas,Importação
China,2000,0,0,Uvas Passas,Importação
China,2001,0,0,Uvas Passas,Importação
China,2002,0,0,Uvas Passas,Importação
China,2003,0,0,Uvas Passas,Importação
China,2004,0,0,Uvas Passas,Importação
China,2005,0,0,Uvas Passas,Importação
China,2006,0,0,Uvas Passas,Importação
China,2007,0,0,Uvas Passas,Importação
China,2008,0,0,Uvas Passas,Importação
China,2009,0,0,Uvas Passas,Importação
