País,ano,quantidade,valor_usd,produto,tipo
Africa do Sul,1970,0,0.0,Vinhos de Mesa,Importação
Africa do Sul,1971,0,0.0,Vinhos de Mesa,Importação
Africa do Sul,1972,0,0.0,Vinhos de Mesa,Importação
Africa do Sul,1973,0,0.0,Vinhos de Mesa,Importação
Africa do Sul,1974,0,0.0,Vinhos de Mesa,Importação
Africa do Sul,1975,0,0.0,Vinhos de Mesa,Importação
Africa do Sul,1976,0,0.0,Vinhos de Mesa,Importação
Africa do Sul,1977,0,0.0,Vinhos de Mesa,Importação
Africa do Sul,1978,0,0.0,Vinhos de Mesa,Importação
Africa do Sul,1979,0,0.0,Vinhos de Mesa,Importação
Africa do Sul,1980,0,0.0,Vinhos de Mesa,Importação
Africa do Sul,1981,0,0.0,Vinhos de Mesa,Importação
Africa do Sul,1982,0,0.0,Vinhos de Mesa,Importação
Africa do Sul,1983,0,0.0,Vinhos de Mesa,Importação
Africa do Sul,1984,0,0.0,Vinhos de Mesa,Importação
Africa do Sul,1985,0,0.0,Vinhos de Mesa,Importação
Africa do Sul,1986,0,0.0,Vinhos de Mesa,Importação
Africa do Sul,1987,0,0.0,Vinhos de Mesa,Importação
Africa do Sul,1988,0,0.0,Vinhos de Mesa,Importação
Africa do Sul,1989,0,0.0,Vinhos de Mesa,Importação
Africa do Sul,1990,0,0.0,Vinhos de Mesa,Importação
Africa do Sul,1991,0,0.0,Vinhos de Mesa,Importação
Africa do Sul,1992,0,0.0,Vinhos de Mesa,Importação
Africa do Sul,1993,0,0.0,Vinhos de Mesa,Importação
Africa do Sul,1994,0,0.0,Vinhos de Mesa,Importação
Africa do Sul,1995,0,0.0,Vinhos de Mesa,Importação
Africa do Sul,1996,0,0.0,Vinhos de Mesa,Importação
Africa do Sul,1997,0,0.0,Vinhos de Mesa,Importação
Africa do Sul,1998,0,0.0,Vinhos de Mesa,Importação
Africa do Sul,1999,0,0.0,Vinhos de Mesa,Importação
Africa do Sul,2000,0,0.0,Vinhos de Mesa,Importação
Africa do Sul,2001,42661,99201.0,Vinhos de Mesa,Importação
Africa do Sul,2002,32194,106317.0,Vinhos de Mesa,Importação
Africa do Sul,2003,157239,305701.0,Vinhos de Mesa,Importação
Africa do Sul,2004,303489,665101.0,Vinhos de Mesa,Importação
Africa do Sul,2005,407413,775421.0,Vinhos de Mesa,Importação
Africa do Sul,2006,358870,1164032.0,Vinhos de Mesa,Importação
Africa do Sul,2007,386425,1320244.0,Vinhos de Mesa,Importação
Africa do Sul,2008,315380,1151699.0,Vinhos de Mesa,Importação
Africa do Sul,2009,493093,1931449.0,Vinhos de Mesa,Importação
Africa do Sul,2010,966276,3600658.0,Vinhos de Mesa,Importação
Africa do Sul,2011,507509,2136394.0,Vinhos de Mesa,Importação
Africa do Sul,2012,722327,3041449.0,Vinhos de Mesa,Importação
Africa do Sul,2013,475331,1985184.0,Vinhos de Mesa,Importação
Africa do Sul,2014,722715,3033932.0,Vinhos de Mesa,Importação
Africa do Sul,2015,743335,2996543.0,Vinhos de Mesa,Importação
